id,path,module,function_name,status,error_type,error_message,is_callable,signature,no_required_args,invoke_status,invoke_error
16,timesfm.time_features._distance_to_holiday,timesfm.time_features,_distance_to_holiday,ok,,,True,(holiday),False,not_tried,
37,timesfm.pytorch_patched_decoder.create_quantiles,timesfm.pytorch_patched_decoder,create_quantiles,ok,,,True,() -> list[float],True,ok,
39,timesfm.pytorch_patched_decoder._masked_mean_std,timesfm.pytorch_patched_decoder,_masked_mean_std,ok,,,True,"(inputs: torch.Tensor, padding: torch.Tensor) -> tuple[torch.Tensor, torch.Tensor]",False,not_tried,
40,timesfm.pytorch_patched_decoder._shift_padded_seq,timesfm.pytorch_patched_decoder,_shift_padded_seq,ok,,,True,"(mask: torch.Tensor, seq: torch.Tensor) -> torch.Tensor",False,not_tried,
41,timesfm.pytorch_patched_decoder.get_large_negative_number,timesfm.pytorch_patched_decoder,get_large_negative_number,ok,,,True,(dtype: torch.dtype) -> torch.Tensor,False,not_tried,
42,timesfm.pytorch_patched_decoder.apply_mask_to_logits,timesfm.pytorch_patched_decoder,apply_mask_to_logits,ok,,,True,"(logits: torch.Tensor, mask: torch.Tensor) -> torch.Tensor",False,not_tried,
43,timesfm.pytorch_patched_decoder.convert_paddings_to_mask,timesfm.pytorch_patched_decoder,convert_paddings_to_mask,ok,,,True,"(paddings: torch.Tensor, dtype: torch.dtype = torch.float32) -> torch.Tensor",False,not_tried,
44,timesfm.pytorch_patched_decoder.causal_mask,timesfm.pytorch_patched_decoder,causal_mask,ok,,,True,(input_t: torch.Tensor) -> torch.Tensor,False,not_tried,
45,timesfm.pytorch_patched_decoder.merge_masks,timesfm.pytorch_patched_decoder,merge_masks,ok,,,True,"(a: torch.Tensor, b: torch.Tensor) -> torch.Tensor",False,not_tried,
103,timesfm.xreg_lib._unnest,timesfm.xreg_lib,_unnest,ok,,,True,(nested: Sequence[Sequence[Any]]) -> numpy.ndarray,False,not_tried,
104,timesfm.xreg_lib._repeat,timesfm.xreg_lib,_repeat,ok,,,True,"(elements: Iterable[Any], counts: Iterable[int]) -> numpy.ndarray",False,not_tried,
105,timesfm.xreg_lib._to_padded_jax_array,timesfm.xreg_lib,_to_padded_jax_array,ok,,,True,(x: numpy.ndarray) -> jax.Array,False,not_tried,
121,timesfm.patched_decoder._shift_padded_seq,timesfm.patched_decoder,_shift_padded_seq,skipped_optional_dependency,ModuleNotFoundError,No module named 'praxis',,,,not_tried,
125,timesfm.patched_decoder._masked_mean_std,timesfm.patched_decoder,_masked_mean_std,skipped_optional_dependency,ModuleNotFoundError,No module named 'praxis',,,,not_tried,
126,timesfm.patched_decoder._create_quantiles,timesfm.patched_decoder,_create_quantiles,skipped_optional_dependency,ModuleNotFoundError,No module named 'praxis',,,,not_tried,
160,timesfm.timesfm_base.process_group,timesfm.timesfm_base,process_group,ok,,,True,"(key, group, value_name, forecast_context_len)",False,not_tried,
161,timesfm.timesfm_base.moving_average,timesfm.timesfm_base,moving_average,ok,,,True,"(arr, window_size)",False,not_tried,
162,timesfm.timesfm_base.freq_map,timesfm.timesfm_base,freq_map,ok,,,True,(freq: str),False,not_tried,
163,timesfm.timesfm_base.strip_leading_nans,timesfm.timesfm_base,strip_leading_nans,ok,,,True,(arr),False,not_tried,
164,timesfm.timesfm_base.linear_interpolation,timesfm.timesfm_base,linear_interpolation,ok,,,True,(arr),False,not_tried,
165,timesfm.timesfm_base._normalize,timesfm.timesfm_base,_normalize,ok,,,True,(batch),False,not_tried,
166,timesfm.timesfm_base._renormalize,timesfm.timesfm_base,_renormalize,ok,,,True,"(batch, stats)",False,not_tried,
